Delivery Number,Item Number,Material Number,Delivered Quantity,Net Price,Delivery Status,Customer ID,Sales Document,Sales Item,Delivery Date
1001001,10,MAT001,100,50,Delivered,CUST001,1000001,10,10-02-2025
1001001,20,MAT002,200,30,Delivered,CUST001,1000001,20,10-02-2025
1001002,10,MAT003,150,40,Delivered,CUST002,1000002,10,11-02-2025
1001003,10,MAT001,300,50,Delivered,CUST003,1000003,10,12-02-2025
1001004,10,MAT004,500,25,Delivered,CUST004,1000004,10,13-02-2025
1001005,10,MAT001,200,50,Delivered,CUST005,1000005,10,14-02-2025
1001006,10,MAT003,120,40,Delivered,CUST006,1000006,10,15-02-2025
1001007,10,MAT002,250,30,Delivered,CUST007,1000007,10,16-02-2025
1001008,10,MAT004,300,25,Delivered,CUST008,1000008,10,17-02-2025
1001009,10,MAT001,350,50,Delivered,CUST009,1000009,10,18-02-2025
1001010,10,MAT003,400,40,Delivered,CUST010,1000010,10,19-02-2025
1001011,10,MAT002,150,30,Delivered,CUST011,1000011,10,20-02-2025
1001012,10,MAT001,500,50,Delivered,CUST012,1000012,10,21-02-2025
1001013,10,MAT004,200,25,Delivered,CUST013,1000013,10,22-02-2025
1001014,10,MAT003,250,40,Delivered,CUST014,1000014,10,23-02-2025
1001015,10,MAT002,400,30,Delivered,CUST015,1000015,10,24-02-2025
1001016,10,MAT001,300,50,Delivered,CUST016,1000016,10,25-02-2025
1001017,10,MAT003,150,40,Delivered,CUST017,1000017,10,26-02-2025
1001018,10,MAT004,500,25,Delivered,CUST018,1000018,10,27-02-2025
1001019,10,MAT001,250,50,Delivered,CUST019,1000019,10,28-02-2025
1001020,10,MAT002,200,30,Delivered,CUST020,1000020,10,01-03-2025
