Sales Document,Order Date,Customer ID,Order Type,Sales Organization,Distribution Channel,Division,Order Status
1000001,01-02-2025,CUST001,OR,1000,10,1,Open
1000002,02-02-2025,CUST002,OR,1000,20,1,Delivered
1000003,05-02-2025,CUST003,OR,1000,10,1,Open
1000004,06-02-2025,CUST004,OR,1000,10,1,Closed
1000005,07-02-2025,CUST005,OR,1000,20,1,Open
1000006,08-02-2025,CUST006,OR,2000,10,2,Delivered
1000007,09-02-2025,CUST007,OR,1000,30,3,Open
1000008,10-02-2025,CUST008,OR,1000,10,1,Closed
1000009,11-02-2025,CUST009,OR,1000,20,2,Open
1000010,12-02-2025,CUST010,OR,1000,10,1,Open
1000011,13-02-2025,CUST011,OR,3000,10,2,Delivered
1000012,14-02-2025,CUST012,OR,2000,20,1,Closed
1000013,15-02-2025,CUST013,OR,1000,10,1,Open
1000014,16-02-2025,CUST014,OR,1000,10,1,Delivered
1000015,17-02-2025,CUST015,OR,1000,20,2,Open
1000016,18-02-2025,CUST016,OR,1000,30,3,Closed
1000017,19-02-2025,CUST017,OR,1000,10,1,Delivered
1000018,20-02-2025,CUST018,OR,1000,20,1,Open
1000019,21-02-2025,CUST019,OR,1000,10,2,Closed
1000020,22-02-2025,CUST020,OR,1000,20,1,Open
1000021,23-02-2025,CUST021,OR,3000,10,1,Delivered
1000022,24-02-2025,CUST022,OR,2000,20,2,Open
