ProductKey,ProductSubcategoryKey,Product,Color,Model,Subcategory,Category,,,,,,
226,21,"Long-Sleeve Logo Jersey, S",Multi,Long-Sleeve Logo Jersey,Jerseys,Clothing,,,,,,
227,21,"Long-Sleeve Logo Jersey, S",Multi,Long-Sleeve Logo Jersey,Jerseys,Clothing,,,,,,
228,21,"Long-Sleeve Logo Jersey, S",Multi,Long-Sleeve Logo Jersey,Jerseys,Clothing,,,,,,
229,21,"Long-Sleeve Logo Jersey, M",Multi,Long-Sleeve Logo Jersey,Jerseys,Clothing,,,,,,
230,21,"Long-Sleeve Logo Jersey, M",Multi,Long-Sleeve Logo Jersey,Jerseys,Clothing,,,,,,
231,21,"Long-Sleeve Logo Jersey, M",Multi,Long-Sleeve Logo Jersey,Jerseys,Clothing,,,,,,
232,21,"Long-Sleeve Logo Jersey, L",Multi,Long-Sleeve Logo Jersey,Jerseys,Clothing,,,,,,
233,21,"Long-Sleeve Logo Jersey, L",Multi,Long-Sleeve Logo Jersey,Jerseys,Clothing,,,,,,
234,21,"Long-Sleeve Logo Jersey, L",Multi,Long-Sleeve Logo Jersey,Jerseys,Clothing,,,,,,
235,21,"Long-Sleeve Logo Jersey, XL",Multi,Long-Sleeve Logo Jersey,Jerseys,Clothing,,,,,,
236,21,"Long-Sleeve Logo Jersey, XL",Multi,Long-Sleeve Logo Jersey,Jerseys,Clothing,,,,,,
237,21,"Long-Sleeve Logo Jersey, XL",Multi,Long-Sleeve Logo Jersey,Jerseys,Clothing,,,,,,
391,10,LL Fork,NA,LL Fork,Forks,Components,,,,,,
392,10,ML Fork,NA,ML Fork,Forks,Components,,,,,,
393,10,HL Fork,NA,HL Fork,Forks,Components,,,,,,
397,4,LL Mountain Handlebars,NA,LL Mountain Handlebars,Handlebars,Components,,,,,,
398,4,LL Mountain Handlebars,NA,LL Mountain Handlebars,Handlebars,Components,,,,,,
410,17,LL Mountain Front Wheel,Black,LL Mountain Front Wheel,Wheels,Components,,,,,,
411,17,ML Mountain Front Wheel,Black,ML Mountain Front Wheel,Wheels,Components,,,,,,
412,17,HL Mountain Front Wheel,Black,HL Mountain Front Wheel,Wheels,Components,,,,,,
416,17,Touring Front Wheel,Black,Touring Front Wheel,Wheels,Components,,,,,,
419,17,LL Mountain Rear Wheel,Black,LL Mountain Rear Wheel,Wheels,Components,,,,,,
420,17,ML Mountain Rear Wheel,Black,ML Mountain Rear Wheel,Wheels,Components,,,,,,
421,17,HL Mountain Rear Wheel,Black,HL Mountain Rear Wheel,Wheels,Components,,,,,,
425,17,Touring Rear Wheel,Black,Touring Rear Wheel,Wheels,Components,,,,,,
445,22,"Men's Sports Shorts, S",Black,Men's Sports Shorts,Shorts,Clothing,,,,,,
447,34,Cable Lock,NA,Cable Lock,Locks,Accessories,,,,,,
448,36,Minipump,NA,Minipump,Pumps,Accessories,,,,,,
449,36,Mountain Pump,NA,Mountain Pump,Pumps,Accessories,,,,,,
450,33,Taillights - Battery-Powered,NA,Taillight,Lights,Accessories,,,,,,
451,33,Headlights - Dual-Beam,NA,Headlights - Dual-Beam,Lights,Accessories,,,,,,
452,33,Headlights - Weatherproof,NA,Headlights - Weatherproof,Lights,Accessories,,,,,,
453,22,"Men's Sports Shorts, M",Black,Men's Sports Shorts,Shorts,Clothing,,,,,,
454,22,"Men's Sports Shorts, L",Black,Men's Sports Shorts,Shorts,Clothing,,,,,,
455,22,"Men's Sports Shorts, XL",Black,Men's Sports Shorts,Shorts,Clothing,,,,,,
